# lumi Mchi Mphi nEvent
2041 1 100 252
2103 1 50 254
2301 1 200 252
2753 1 350 219
2760 1 150 255
2833 1 350 237
2889 45 100 251
3313 1 50 282
3549 55 100 247
5695 1 50 267
6111 40 100 258
2128 55 100 248
2138 1 50 248
5540 55 100 237
5596 1 500 213
5830 1 400 219
6006 1 100 239
6033 1 300 230
6057 1 250 227
6118 1 250 238
3184 1 100 228
3571 1 450 216
3729 1 50 254
5354 1 400 202
5368 1 100 257
5404 1 50 250
5573 1 350 213
5623 55 100 265
5630 1 250 245
5711 1 50 280
5742 1 50 284
4429 20 100 282
4583 1 100 273
4694 1 450 183
5066 1 350 235
5493 20 100 270
5572 1 200 249
5612 1 200 249
5848 45 100 266
2676 1 450 191
4308 49 100 266
4329 1 50 258
7253 51 100 264
7272 30 100 281
7368 55 100 260
7746 30 100 254
7897 1 300 247
7905 51 100 249
7974 55 100 231
7986 1 150 253
11428 1 200 250
11461 20 100 247
13073 1 100 263
13213 1 100 254
13237 40 100 258
4538 1 450 214
7122 1 100 256
7284 45 100 268
7410 1 450 228
7939 30 100 277
7955 20 100 253
7962 55 100 254
7963 1 150 244
9942 20 100 265
9975 1 100 266
11050 1 100 260
11066 1 350 227
11158 1 50 250
11195 1 200 230
7023 1 400 216
7372 1 100 261
7434 1 350 214
7747 20 100 258
7891 1 100 255
7907 1 250 216
7912 1 450 198
7922 1 450 209
7923 1 100 248
7938 1 250 241
7977 20 100 257
7998 1 50 255
7999 40 100 269
8000 55 100 244
9034 40 100 269
9147 1 100 255
9958 1 50 269
7031 1 350 209
7112 1 500 228
7274 49 100 260
7961 1 250 229
9139 20 100 240
9146 1 450 214
9235 1 50 247
9468 30 100 264
9992 1 200 236
13194 1 200 224
13089 1 100 251
4664 1 350 217
5588 1 400 253
5743 1 350 243
5744 20 100 259
5809 1 50 270
5982 1 400 222
7925 1 350 226
11798 55 100 244
13268 20 100 270
5620 20 100 272
5703 1 50 275
5709 1 150 265
5723 1 100 271
5774 1 250 233
8031 1 150 236
8144 1 500 198
8433 1 150 252
8434 1 50 254
8522 1 350 216
8659 1 250 221
5700 45 100 234
11026 1 100 260
11234 51 100 237
11501 1 100 256
12270 30 100 251
13317 45 100 269
13683 1 50 287
13948 1 50 285
7401 20 100 262
7405 1 50 289
7896 1 100 273
7904 45 100 257
13301 1 200 239
13302 1 50 288
13318 1 200 248
13390 1 300 239
13674 1 150 267
13776 45 100 274
13891 1 500 218
13882 51 100 260
8225 1 250 236
8256 55 100 257
8330 1 100 264
8764 49 100 243
8780 1 50 258
8788 1 100 270
8775 1 200 244
12337 1 400 231
12338 1 450 229
12415 40 100 230
12458 1 300 216
12305 1 100 279
12321 1 50 273
12329 20 100 260
12419 1 350 205
12431 1 250 237
12474 1 400 230
12517 1 200 228
12525 30 100 254
11469 1 100 256
11984 20 100 265
12295 45 100 280
12353 1 100 243
12386 51 100 245
13325 49 100 250
34841 1 50 260
12837 1 50 276
14283 1 450 218
14364 1 200 261
35336 1 50 249
35756 1 150 265
35853 1 50 280
35623 1 100 286
35854 1 150 258
35910 1 350 225
13310 30 100 282
13756 40 100 258
13759 1 400 232
8242 49 100 253
8449 1 100 251
8544 1 50 274
8578 51 100 264
8608 1 500 199
8611 49 100 256
8615 20 100 272
8620 1 100 260
8623 1 200 260
8625 1 300 233
8633 1 450 226
8655 1 250 251
8538 1 200 257
8555 1 200 239
8560 1 200 242
8563 1 100 254
8576 1 200 253
8594 40 100 263
8643 1 100 233
8657 1 50 264
12197 1 250 238
12287 51 100 268
12577 1 250 214
12585 1 400 221
12610 1 50 263
11214 49 100 259
12022 1 100 261
12216 49 100 263
12541 1 450 243
12574 30 100 270
12593 1 300 228
