# lumi Mchi Mphi nEvent
57 49 100 104
735 1 50 113
967 1 50 111
33945 1 50 133
33961 49 100 102
34014 1 500 102
34824 1 100 123
34897 1 500 93
34918 1 100 116
35731 40 100 121
36405 51 100 117
36430 45 100 117
36460 1 50 126
37919 1 250 99
38677 51 100 119
38689 45 100 112
50316 1 250 117
50319 20 100 118
50325 1 50 132
50383 1 450 99
50491 1 50 107
50549 1 50 104
68008 1 250 113
68035 1 500 103
68923 1 50 100
33959 1 50 129
34815 20 100 107
34816 1 50 128
34830 40 100 113
34994 30 100 103
34996 1 100 105
36464 1 200 110
38037 1 50 125
38048 1 150 110
38049 1 150 104
38061 49 100 120
38067 1 100 123
38070 20 100 124
38073 1 50 117
38081 51 100 117
38084 1 100 126
38087 1 50 130
38099 1 450 100
38690 1 50 111
38695 49 100 126
38714 1 50 127
68278 1 350 100
68289 1 200 105
68297 1 250 112
34885 30 100 137
34997 20 100 126
35728 1 100 116
37421 1 50 127
37440 49 100 129
38051 1 100 117
38100 45 100 117
38665 1 300 106
38841 1 50 106
50052 51 100 114
50075 1 200 110
50076 1 150 131
50081 1 50 113
68023 1 200 113
68032 1 50 121
68041 1 450 98
68042 45 100 124
68044 20 100 115
68280 20 100 120
68303 55 100 134
68306 49 100 111
68308 1 100 115
68309 1 100 122
68907 55 100 119
50053 55 100 116
50054 1 350 105
50944 1 300 98
50946 45 100 123
99713 1 50 126
99714 51 100 124
99968 55 100 100
99971 1 100 116
50579 1 100 126
50624 45 100 129
50630 30 100 119
50658 49 100 112
50663 1 150 123
50664 20 100 119
50667 1 400 102
50676 1 50 130
50677 1 50 119
50678 1 100 118
50681 1 100 125
50684 30 100 116
50716 45 100 129
50790 1 100 132
50836 1 400 88
50838 1 400 101
50842 30 100 106
50843 1 100 101
50845 1 50 124
50853 1 50 110
50856 1 300 102
50859 55 100 97
50861 1 250 108
50863 1 50 117
50864 1 400 101
50865 30 100 119
50866 1 100 108
50867 45 100 120
50868 1 200 105
50871 1 100 115
50874 40 100 122
50876 55 100 107
50877 20 100 111
50878 1 350 112
50881 55 100 127
50883 1 400 100
50884 45 100 127
50886 55 100 120
50887 1 350 113
50890 55 100 104
50580 49 100 108
50599 30 100 124
50665 1 300 116
50688 1 100 126
50720 1 50 121
50721 51 100 119
50837 20 100 127
50848 1 50 136
50855 1 50 114
50880 1 50 128
50882 1 50 121
50885 1 50 130
63383 1 100 112
63390 20 100 120
63410 20 100 130
63414 1 500 83
63419 1 100 117
63427 1 400 105
63428 1 200 95
63430 1 50 117
63439 55 100 118
63444 1 150 105
63449 1 400 110
63455 45 100 100
63567 1 250 100
63569 1 100 116
50979 1 100 109
63022 55 100 109
63384 1 200 116
63387 1 300 107
63388 1 100 114
63389 1 500 98
63391 1 250 107
63394 1 250 96
63397 1 400 102
63399 49 100 101
63409 1 50 120
63436 1 250 98
50892 1 100 124
63433 1 450 98
63452 30 100 106
63454 1 450 93
63457 1 200 105
99404 1 250 100
99405 51 100 114
99411 1 500 106
99515 1 150 109
99530 1 100 114
99661 40 100 111
99664 1 300 94
99668 1 350 93
99481 51 100 124
99492 1 100 123
99493 1 100 108
99505 49 100 127
99513 40 100 125
