# lumi Mchi Mphi nEvent
1984 1 300 246
7053 51 100 263
7070 1 100 257
7100 1 100 273
6946 40 100 255
6978 1 400 217
6893 1 450 233
6991 1 100 281
6996 1 300 238
7878 30 100 272
13755 1 400 233
13809 1 350 221
7437 1 300 242
7455 1 100 267
7488 1 350 241
8448 1 100 266
8493 49 100 256
8096 55 100 271
8136 1 200 250
8384 1 50 288
8592 49 100 276
8664 1 450 235
8660 55 100 284
23383 1 50 272
23389 1 300 241
24810 20 100 261
18755 1 500 216
18802 49 100 272
18859 1 150 251
24563 45 100 245
18161 1 50 283
18171 1 50 296
12552 1 100 270
12608 1 200 237
12616 1 50 276
13542 55 100 255
18157 1 200 237
18183 1 50 270
18185 1 150 247
24058 51 100 243
23278 1 100 257
24020 55 100 237
24930 49 100 245
24971 1 50 277
41320 51 100 245
41420 1 200 247
46587 1 250 230
24535 30 100 255
46845 1 450 211
46955 1 200 251
46982 49 100 271
24806 51 100 269
24864 49 100 267
24955 1 250 242
24870 1 300 250
24890 1 250 233
24953 40 100 244
46787 1 350 251
46798 1 350 241
46973 1 200 255
4480 1 350 231
5466 1 450 231
5883 55 100 243
6388 55 100 240
7088 49 100 279
7599 1 50 273
70434 1 300 245
74347 1 500 216
75073 30 100 253
75084 45 100 275
75644 1 400 224
75880 1 350 214
75620 40 100 279
75655 1 350 237
75704 1 100 278
75706 1 250 232
76046 1 450 232
76123 1 50 259
76134 1 50 254
76268 1 500 211
76279 1 100 248
76598 1 200 246
76604 1 100 268
76612 1 50 254
77058 51 100 246
77078 49 100 266
77203 30 100 265
78018 1 500 237
22266 1 150 276
22278 55 100 251
24009 1 50 251
23430 20 100 252
23432 1 250 230
23436 1 500 224
23442 1 450 211
23444 40 100 255
23448 1 200 248
23450 1 50 268
45769 30 100 276
45866 1 50 268
45976 1 150 254
50026 1 100 247
50832 55 100 268
72641 1 500 212
73072 20 100 255
59837 1 50 263
59842 20 100 261
59845 1 400 241
59851 1 50 267
59853 1 100 261
74083 1 150 252
74101 1 50 262
76031 1 100 262
76065 1 200 230
76135 55 100 244
76139 1 50 243
76458 1 50 277
76549 45 100 272
76560 1 50 276
76639 1 50 282
76670 1 100 268
74100 1 150 265
76062 1 50 280
76142 30 100 259
76143 1 450 215
76146 1 100 248
75082 1 350 223
75085 1 350 219
75469 1 300 215
75476 1 450 214
75699 1 450 211
77007 1 50 253
77015 1 350 246
77018 1 350 230
77050 1 400 194
77206 1 400 232
