# lumi Mchi Mphi nEvent
606 1 100 111
13763 1 150 108
14027 1 300 94
14237 1 100 107
15107 1 100 106
15155 1 100 113
15431 1 200 103
16116 51 100 97
16371 1 50 116
16918 1 100 112
18392 30 100 108
18491 40 100 112
18728 1 100 112
18789 1 50 105
19181 1 50 98
19316 1 100 118
19417 55 100 106
19460 20 100 102
21004 30 100 93
21040 1 100 95
21314 1 50 106
21543 30 100 112
21582 1 500 90
27913 55 100 97
937 30 100 122
20041 1 50 98
20067 1 400 91
20133 30 100 110
20322 1 100 110
20525 55 100 103
20793 20 100 113
21308 55 100 112
21361 1 200 102
21667 1 250 100
21722 1 450 88
21769 1 300 101
21866 1 50 109
21936 1 350 91
21976 1 50 101
25055 1 250 108
25118 1 50 114
25210 1 200 118
25219 1 250 98
25256 1 100 92
25660 45 100 109
25678 1 100 105
25818 55 100 117
25885 1 50 98
25926 1 500 96
25939 1 100 104
25973 1 50 122
13062 1 50 109
13176 1 500 91
13392 1 100 89
14000 55 100 96
14236 1 200 97
14263 1 500 83
14328 30 100 102
14512 1 450 92
14767 1 250 108
14794 1 500 77
14841 1 400 91
14903 30 100 95
15119 20 100 107
15213 1 100 99
15339 1 350 105
15367 49 100 104
15816 1 50 111
16480 1 400 81
16912 20 100 108
17155 1 400 85
17187 1 300 105
18089 1 50 109
18351 49 100 107
18469 1 100 114
18536 1 100 111
18837 1 100 108
19259 1 450 93
19469 30 100 109
19490 1 100 98
19512 40 100 113
16948 1 500 85
20028 1 300 102
20063 1 50 108
20085 40 100 110
20104 20 100 109
20115 1 250 109
20130 40 100 121
20146 1 50 110
20159 1 50 114
20205 1 100 105
20211 1 150 117
20214 1 250 109
20276 1 300 99
20328 1 50 105
20339 51 100 106
20379 1 50 114
20422 1 150 114
20459 55 100 106
20471 1 400 92
20506 1 50 101
20509 1 350 98
20545 1 50 106
20573 45 100 106
20628 1 100 104
20693 1 300 89
20710 1 300 98
20719 1 350 95
20803 1 100 110
20812 1 100 108
20876 1 150 111
20967 1 50 109
21774 1 300 105
21788 1 100 104
21830 1 100 101
21856 1 200 98
21881 1 50 105
21903 1 100 110
21945 1 350 109
21957 1 300 98
21963 1 350 118
21994 1 250 100
27060 20 100 97
27190 45 100 108
20012 1 450 86
20030 1 100 98
20095 1 350 86
20114 45 100 103
20123 1 150 91
20124 49 100 102
20165 1 50 104
20176 1 500 88
20188 1 100 109
20250 1 50 100
20343 1 350 95
20435 55 100 104
20487 1 250 94
20520 1 100 98
20534 1 200 101
20542 49 100 119
20560 1 50 101
20784 20 100 110
20894 1 50 98
20994 1 500 84
21373 1 100 105
21446 20 100 101
21731 49 100 100
21740 51 100 99
21763 55 100 97
21792 1 50 104
21820 1 250 101
21827 49 100 85
21839 20 100 100
21847 1 100 93
21853 1 50 104
21921 45 100 106
21929 1 250 107
21978 1 450 94
27051 1 400 85
27446 40 100 113
20450 20 100 103
27292 1 100 107
27300 1 150 116
27667 1 400 80
14297 1 50 111
14417 1 200 104
14435 20 100 120
16073 20 100 116
16101 1 50 117
17234 49 100 111
17252 1 100 97
17265 45 100 115
17381 1 250 103
17492 1 100 110
18418 1 400 95
19035 1 50 118
19143 1 100 109
19148 1 400 92
19162 55 100 113
19281 49 100 107
19299 1 500 79
19407 1 100 101
19433 1 450 96
19947 1 50 106
28303 30 100 106
28304 1 100 119
28337 1 200 115
28983 1 200 97
28992 40 100 105
29064 1 100 107
29078 49 100 116
29192 1 250 97
29444 1 350 104
29615 1 300 94
29822 1 450 98
29838 1 300 87
29956 1 50 109
38181 1 200 106
38319 1 400 88
38592 1 200 101
38673 45 100 108
38939 1 50 109
38947 1 100 98
38956 30 100 109
29202 49 100 104
29695 55 100 108
