# lumi Mchi Mphi nEvent
24 51 100 88
393 1 100 91
571 1 50 93
750 1 300 81
1125 1 100 102
1133 1 500 72
1270 1 100 110
1652 1 100 92
1747 1 200 86
3112 1 450 67
3175 1 450 79
3218 1 200 93
3749 1 100 99
3896 1 50 84
3903 1 450 66
3984 1 50 89
4133 1 100 80
4239 1 50 95
4260 1 50 93
4544 30 100 82
4741 1 250 94
4763 51 100 87
4773 1 250 72
5084 49 100 97
5122 1 150 80
5184 45 100 99
5561 1 50 93
10768 1 500 78
20659 1 100 101
7372 1 50 92
7472 51 100 93
7494 1 50 91
8493 1 100 104
8631 1 300 88
8811 20 100 92
10341 51 100 101
10431 1 50 87
13090 40 100 89
13097 45 100 99
13160 1 500 82
13177 1 250 94
14093 1 50 98
14127 1 50 99
14451 1 50 90
14877 45 100 102
15015 1 300 81
15632 1 100 100
15820 1 300 92
15950 55 100 94
15967 1 100 90
16418 51 100 81
16765 1 300 91
17834 1 100 94
18760 1 400 83
18776 1 100 98
19367 1 50 93
19490 1 100 82
19686 1 350 61
19927 1 50 99
19992 1 50 102
20873 51 100 104
21241 1 150 84
7685 1 100 85
7887 1 100 96
8772 1 100 106
8854 30 100 96
9183 1 200 91
10316 20 100 91
10411 1 100 91
10565 1 450 61
10776 1 450 74
13069 20 100 99
14059 1 150 87
14074 1 100 79
14706 1 100 80
14852 55 100 73
14869 1 50 85
15027 20 100 80
15108 1 350 78
15248 1 250 86
15281 1 450 80
15410 55 100 84
15491 1 100 94
15578 20 100 96
15659 49 100 102
15684 1 50 92
15905 1 50 106
18326 1 400 70
18466 30 100 101
18593 1 100 91
18675 20 100 92
19687 1 50 90
19703 1 300 92
19786 1 50 79
20658 1 50 89
20862 45 100 103
8327 1 100 98
16141 40 100 90
17158 1 50 111
17931 1 100 86
60420 1 150 91
55311 1 50 94
75270 1 450 77
76300 1 100 108
72535 1 400 76
72539 55 100 89
72545 49 100 85
72546 1 50 76
72548 1 100 91
72553 40 100 90
72558 1 50 100
72568 1 50 91
72572 1 500 76
72574 1 50 88
72616 45 100 97
72617 1 50 89
72626 49 100 98
72630 49 100 87
72631 1 100 91
72641 1 300 93
72644 1 350 80
72646 45 100 90
72652 1 50 87
72654 1 250 88
72667 1 50 97
72670 20 100 79
72675 45 100 86
72681 1 350 80
72683 1 350 72
72688 20 100 97
72699 1 100 103
72700 1 250 84
72743 1 50 84
72744 1 50 93
72748 1 100 95
72778 45 100 91
72781 20 100 92
72786 51 100 86
72791 1 500 72
72793 1 100 99
72800 1 350 85
72809 1 300 97
72813 1 450 72
72814 1 50 99
72818 1 150 88
72829 20 100 93
72837 55 100 87
72838 49 100 84
72841 1 500 80
72846 1 50 90
72857 1 400 81
72861 1 50 84
72862 1 100 83
72865 1 50 101
72873 30 100 82
72877 55 100 100
72886 30 100 105
72890 1 100 96
72894 45 100 101
72898 1 350 87
72902 1 350 86
72904 1 100 88
72905 49 100 75
72911 1 300 82
72922 51 100 99
72926 45 100 98
72934 40 100 81
72939 1 150 94
72945 40 100 96
72948 1 50 89
72952 1 350 82
72956 1 50 90
72958 1 100 100
72959 40 100 95
72960 1 300 82
72964 1 100 91
72973 51 100 111
72974 20 100 72
72985 1 450 71
72988 51 100 90
72995 1 50 103
73003 1 100 90
73017 20 100 82
73018 1 300 81
73022 1 100 99
73029 20 100 102
73030 1 100 99
73036 1 250 94
73038 1 100 99
73041 51 100 101
73051 1 100 98
73052 1 50 88
73065 20 100 85
73073 1 400 75
73107 1 450 83
73110 1 100 84
73236 1 300 75
73264 1 50 84
73284 1 100 97
73323 1 400 78
76617 1 50 100
76633 1 150 106
76656 51 100 106
76660 55 100 93
76662 1 250 98
76831 1 50 103
76844 1 100 91
76851 20 100 92
76857 49 100 110
76881 1 50 112
76883 1 100 86
76886 1 50 92
76897 1 50 97
76899 49 100 109
76907 40 100 105
76958 51 100 88
76961 51 100 91
76970 1 50 96
76994 1 50 113
77023 45 100 96
77113 49 100 103
77137 40 100 93
77161 1 200 113
77175 49 100 95
77288 51 100 95
77343 45 100 93
77353 1 150 88
77368 55 100 95
77377 30 100 90
77409 1 50 105
77440 1 50 90
76822 1 400 78
76823 1 350 80
76828 1 500 73
76829 1 200 88
76838 1 400 81
76849 1 100 106
76869 1 50 76
76882 1 350 84
76908 1 300 77
76915 30 100 87
76919 1 300 88
76936 30 100 113
76938 1 400 79
76939 55 100 91
76940 1 50 95
76941 30 100 91
76943 1 300 95
76956 1 500 72
76972 1 50 106
76973 1 500 77
76984 1 100 105
76986 20 100 88
76991 55 100 88
77004 1 350 84
77007 1 350 77
77086 1 500 66
77498 1 400 72
78002 1 150 99
78008 49 100 102
78014 1 400 84
78027 1 250 89
78029 1 400 77
78038 1 100 83
77442 1 250 85
77450 1 50 93
23699 1 250 91
24693 1 100 89
27584 1 50 96
30012 40 100 99
30419 1 100 90
30623 1 100 88
30935 1 50 109
31523 1 250 86
31549 1 50 90
32345 1 350 67
34323 1 100 94
35623 1 50 105
37790 1 50 83
39684 49 100 97
39921 55 100 84
40119 1 100 95
40569 1 300 87
40850 30 100 89
46382 1 100 86
46617 1 150 91
46731 20 100 100
49255 1 200 99
49409 1 450 78
49814 1 500 86
50749 51 100 92
51304 1 100 91
51771 1 400 84
52930 1 450 70
24029 30 100 100
31072 1 450 82
31298 1 250 88
39510 20 100 95
49344 40 100 95
49444 40 100 88
49673 1 50 85
49789 1 100 88
49870 51 100 94
50008 1 100 91
51091 30 100 94
51105 1 500 82
51288 1 100 102
51312 1 350 86
51399 40 100 89
51664 1 100 102
52466 45 100 92
52467 1 100 87
52506 1 100 95
52597 1 100 104
53120 1 50 91
53275 1 300 81
53309 1 100 86
53535 1 350 74
53822 1 150 84
53983 1 300 77
56320 1 250 88
56581 1 100 84
56682 1 100 84
57561 1 350 86
57759 1 450 71
57809 55 100 86
57965 1 500 60
58008 1 100 100
58210 30 100 91
58227 1 350 79
61281 1 350 80
24908 30 100 105
27043 20 100 100
27408 1 300 98
28162 55 100 86
30348 1 50 93
30631 1 100 109
30706 51 100 92
31064 55 100 90
31897 1 150 96
39552 1 50 99
39863 1 50 78
40098 1 200 92
40131 1 100 98
40135 1 50 95
40383 1 100 94
40680 30 100 97
46555 1 200 104
50259 1 100 103
50433 51 100 93
50470 1 500 80
50869 1 250 90
51060 40 100 108
51308 51 100 101
51324 1 50 98
51877 55 100 98
51901 1 50 95
52296 1 450 61
53072 1 300 89
54000 20 100 95
58489 1 100 97
59720 1 500 78
58770 1 200 79
60424 1 200 80
61084 1 500 74
80405 40 100 92
85516 1 500 57
79361 55 100 91
87555 1 100 100
101895 1 50 84
95985 1 50 102
96085 45 100 92
96116 1 250 99
96117 1 250 88
96250 45 100 91
87245 51 100 97
87246 1 100 97
87254 1 100 80
87262 1 450 89
87268 1 300 84
87282 1 400 80
87306 55 100 87
87310 1 100 91
87311 49 100 84
87321 1 100 106
87335 20 100 88
87348 1 300 86
87351 30 100 97
87354 55 100 85
87355 45 100 93
87358 1 50 84
87366 1 100 95
87370 1 250 89
87383 1 100 111
87397 49 100 97
87407 1 100 94
87421 20 100 97
87422 1 50 98
87432 30 100 97
87435 1 50 94
87437 1 200 82
87445 30 100 91
87464 20 100 87
87518 55 100 90
87521 1 50 86
87532 1 100 92
87533 45 100 101
87534 1 200 86
87535 1 150 106
87544 1 50 93
87546 1 50 94
87550 1 100 102
87632 1 50 83
87644 1 100 88
87647 1 450 78
87658 1 400 73
87664 1 50 90
87670 1 350 87
87686 20 100 97
87694 55 100 95
87703 1 250 75
87724 1 100 77
87728 1 150 89
87737 45 100 90
87758 45 100 91
94666 20 100 95
94674 1 50 82
94683 1 100 90
94780 20 100 89
94790 1 200 97
94853 45 100 94
94857 1 200 94
94871 1 150 104
94907 1 400 81
94915 1 350 87
94922 1 350 82
94933 1 350 87
94936 40 100 105
94940 1 100 90
94941 51 100 93
94952 1 100 99
94970 1 200 90
94977 1 100 91
94980 1 100 99
94992 1 50 98
95002 1 100 98
95008 20 100 97
95025 1 50 92
95031 49 100 90
95036 1 100 94
95040 40 100 95
95047 1 100 87
95053 1 100 96
95055 1 150 97
95060 1 100 92
95077 45 100 86
95078 1 100 98
95108 40 100 98
95124 1 350 80
95125 55 100 97
95144 1 100 89
95161 45 100 85
95179 1 200 89
95215 1 250 79
100895 1 250 89
100924 45 100 85
100940 1 100 99
100941 40 100 86
100966 40 100 91
100973 1 450 73
100977 45 100 90
100987 45 100 82
101032 45 100 107
101034 55 100 95
101042 1 300 79
101046 49 100 104
101050 1 100 97
101059 45 100 96
101065 55 100 98
101067 1 150 90
101074 51 100 78
101079 49 100 95
101082 51 100 89
101086 1 200 94
101091 1 100 83
101097 1 50 92
101111 30 100 96
101115 1 50 87
100937 1 450 85
100958 1 250 79
100974 49 100 101
101030 1 100 89
101043 30 100 101
101048 1 400 74
101068 1 50 105
101080 45 100 81
101087 1 150 87
101089 1 100 101
101095 45 100 83
101116 1 450 73
101122 1 100 89
101378 1 50 87
101379 1 100 100
101386 51 100 109
101397 30 100 91
101400 49 100 100
101413 20 100 98
101430 1 50 102
101459 1 50 100
101469 30 100 82
101481 1 100 92
101487 1 300 78
101513 49 100 86
101515 1 400 79
101522 1 50 101
101551 1 100 98
101562 55 100 98
101564 1 150 107
101566 1 50 91
101573 1 150 97
101581 1 50 99
101584 1 450 76
101600 1 100 81
101380 1 400 80
101398 1 450 68
101393 1 100 80
101408 1 50 89
101391 1 100 111
101405 49 100 95
101407 1 100 91
100181 1 100 96
100194 45 100 97
100204 40 100 87
100217 1 150 101
100234 1 50 94
100245 1 400 89
100256 1 400 86
100257 1 100 109
100284 1 500 67
100309 1 450 65
100326 1 50 93
100330 1 400 79
100343 1 100 100
100348 1 400 74
100189 45 100 99
100196 1 350 81
100219 1 450 78
100221 1 450 77
100233 45 100 98
100266 55 100 84
100285 1 50 101
100301 1 100 87
100322 40 100 94
100332 40 100 93
100334 1 350 87
100340 40 100 101
100349 1 200 94
101851 1 100 94
101853 55 100 83
