# lumi Mchi Mphi nEvent
53051 1 100 200
52638 1 100 198
52661 40 100 195
52668 1 100 186
52669 40 100 186
52670 51 100 171
52678 30 100 197
52692 1 100 196
52703 45 100 183
52718 1 50 198
52773 20 100 183
52844 1 250 176
52946 1 500 170
52954 1 50 201
52961 1 100 174
52977 1 250 178
53047 55 100 185
52740 1 50 186
52756 30 100 196
52796 51 100 196
52877 1 100 190
52943 51 100 191
52948 1 350 171
52972 30 100 178
53101 1 50 187
53125 1 500 154
52746 1 100 196
52834 45 100 167
52868 1 450 156
52899 1 150 182
52951 1 50 198
53038 1 100 175
53048 1 200 193
53130 49 100 192
53195 1 200 172
52820 1 450 153
52912 1 100 164
52945 1 450 152
52969 1 100 187
53039 49 100 168
53176 1 50 198
54742 1 50 179
52930 1 50 204
53065 1 50 190
53066 1 50 177
53089 1 100 179
53095 30 100 180
53097 1 50 191
53106 1 450 147
53107 1 150 179
53111 1 400 159
52986 49 100 184
53052 45 100 175
53053 49 100 181
53141 1 50 176
53150 1 50 181
53144 55 100 182
53205 1 500 144
53235 1 100 203
53215 20 100 185
53216 1 400 155
53224 1 50 193
61378 1 100 197
53562 1 300 164
53481 55 100 181
53689 1 100 184
53736 49 100 178
53961 51 100 157
53984 1 100 190
53985 20 100 200
54439 40 100 181
53986 45 100 181
54035 1 350 174
54392 55 100 208
54522 1 50 184
54702 1 100 175
53750 1 150 193
53962 1 50 188
53993 49 100 192
54042 49 100 169
54043 1 100 184
54303 1 350 161
54350 1 400 160
54384 45 100 188
54497 1 100 188
53991 49 100 190
54040 45 100 180
54056 30 100 197
54179 1 400 154
54346 1 400 151
54648 45 100 188
54665 1 300 185
54679 45 100 187
54687 1 50 191
54015 20 100 186
54251 1 50 188
54267 1 300 171
54299 45 100 195
54324 20 100 185
54642 1 100 185
54690 1 50 195
54780 1 350 153
54180 1 100 183
54133 1 50 166
54278 1 50 182
54311 1 150 189
54357 1 50 182
54454 1 350 158
54457 1 100 197
54462 1 400 155
54758 45 100 186
54722 40 100 181
54281 1 50 186
54482 1 50 172
54524 1 50 194
54842 20 100 173
54857 1 50 179
54920 1 350 166
55023 1 400 150
55026 1 500 157
54339 1 50 181
54363 1 400 160
54379 45 100 183
54404 1 50 194
54449 1 350 164
54461 1 250 186
54470 1 50 194
54576 1 100 190
54613 45 100 189
54403 1 100 186
54405 1 150 179
54430 1 200 164
54438 1 50 196
54448 1 250 182
54455 30 100 185
54478 1 200 183
54493 1 350 166
54494 55 100 163
54429 1 100 190
54514 1 200 164
54528 30 100 195
54535 40 100 188
54538 40 100 194
54553 20 100 182
54559 1 300 178
54638 1 500 142
54666 1 350 153
54463 51 100 207
61592 1 400 137
93794 1 200 191
54485 55 100 199
54815 45 100 204
55127 30 100 201
55514 1 350 171
54641 1 250 166
54650 1 50 182
54654 55 100 160
54672 49 100 181
54673 1 400 159
54674 1 400 166
54682 1 100 170
54683 1 50 194
54688 1 50 218
54655 1 100 169
54660 40 100 168
54704 20 100 178
54733 1 100 189
54756 20 100 178
54809 1 50 218
54667 20 100 163
54729 1 100 168
54736 1 350 172
55098 1 150 195
55153 1 50 184
55172 1 150 196
55174 1 50 196
55188 1 100 198
55195 55 100 197
55239 1 100 196
55247 1 350 175
55279 30 100 191
55289 40 100 204
55290 1 100 177
55783 1 300 163
55513 40 100 177
87043 1 450 154
87122 55 100 190
87284 20 100 179
87438 1 500 158
87631 45 100 186
87672 1 350 162
87858 1 200 167
61119 1 200 184
61154 1 100 173
61263 1 200 177
61415 1 100 185
61421 1 250 185
61422 40 100 174
61425 45 100 189
61698 1 450 163
95907 20 100 197
95923 1 50 178
96005 1 100 197
96020 1 500 147
96119 1 100 198
96142 1 50 204
96143 55 100 179
61760 1 350 162
87867 1 100 181
91955 20 100 201
95216 1 50 187
95222 1 100 191
95265 55 100 199
95292 1 100 193
91099 1 50 189
91105 1 50 186
91126 1 100 184
91131 20 100 193
91132 1 250 171
91140 40 100 192
91168 1 250 184
91202 49 100 185
61994 1 100 175
86002 1 150 175
86004 1 450 148
86010 1 500 154
86148 1 100 177
86309 1 400 145
87102 1 500 148
87105 1 400 152
87126 1 400 161
86948 1 450 157
86956 1 50 178
87097 45 100 193
87347 51 100 191
87406 51 100 185
87437 30 100 196
87480 55 100 188
87591 20 100 184
87603 30 100 190
